"Date Printed: Wednesday, August 29, 2018 11:11:24 AM"
Title: Primary and Secondary Syphilis | Chlamydia | Gonorrhea | 2016 | 2015 | 2014 | 2013 | 2012 | 2011 | 2010 | 2009 | 2008 | 2007 | 2006 | 2005 | 2004 | 2003 | 2002 | 2001 | 2000 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Male | Female | All age groups

NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
"Primary and Secondary Syphilis","2008","Alabama","01","All age groups","All races/ethnicities","Male","278",12.3,"2,265,196"
"Primary and Secondary Syphilis","2001","Alabama","01","All age groups","All races/ethnicities","Female","67",2.9,"2,307,012"
"Primary and Secondary Syphilis","2004","Alabama","01","All age groups","All races/ethnicities","Male","113",5.2,"2,182,936"
"Primary and Secondary Syphilis","2016","Alabama","01","All age groups","All races/ethnicities","Female","80",3.2,"2,505,795"
"Primary and Secondary Syphilis","2013","Alabama","01","All age groups","All races/ethnicities","Male","161",6.9,"2,341,787"
"Primary and Secondary Syphilis","2013","Alabama","01","All age groups","All races/ethnicities","Female","22",0.9,"2,488,746"
"Primary and Secondary Syphilis","2015","Alabama","01","All age groups","All races/ethnicities","Female","37",1.5,"2,505,795"
"Primary and Secondary Syphilis","2000","Alabama","01","All age groups","All races/ethnicities","Female","63",2.7,"2,302,533"
"Primary and Secondary Syphilis","2007","Alabama","01","All age groups","All races/ethnicities","Male","237",10.6,"2,245,834"
"Primary and Secondary Syphilis","2011","Alabama","01","All age groups","All races/ethnicities","Female","54",2.2,"2,472,530"
"Primary and Secondary Syphilis","2012","Alabama","01","All age groups","All races/ethnicities","Female","38",1.5,"2,480,805"
"Primary and Secondary Syphilis","2002","Alabama","01","All age groups","All races/ethnicities","Female","63",2.7,"2,309,495"
"Primary and Secondary Syphilis","2015","Alabama","01","All age groups","All races/ethnicities","Male","243",10.3,"2,353,184"
"Primary and Secondary Syphilis","2007","Alabama","01","All age groups","All races/ethnicities","Female","143",6,"2,388,229"
"Primary and Secondary Syphilis","2010","Alabama","01","All age groups","All races/ethnicities","Male","185",8,"2,321,909"
"Primary and Secondary Syphilis","2010","Alabama","01","All age groups","All races/ethnicities","Female","75",3,"2,463,252"
"Primary and Secondary Syphilis","2006","Alabama","01","All age groups","All races/ethnicities","Male","203",9.1,"2,226,067"
"Primary and Secondary Syphilis","2004","Alaska","02","All age groups","All races/ethnicities","Female","0",0,"317,414"
"Primary and Secondary Syphilis","2004","Alaska","02","All age groups","All races/ethnicities","Male","8",2.3,"341,891"
"Primary and Secondary Syphilis","2014","Alaska","02","All age groups","All races/ethnicities","Male","14",3.6,"387,669"
"Primary and Secondary Syphilis","2015","Alaska","02","All age groups","All races/ethnicities","Male","7",1.8,"389,025"
"Primary and Secondary Syphilis","2001","Alaska","02","All age groups","All races/ethnicities","Female","Data not available","Data not available","NA"
"Primary and Secondary Syphilis","2008","Alaska","02","All age groups","All races/ethnicities","Male","1",0.3,"358,594"
"Primary and Secondary Syphilis","2008","Alaska","02","All age groups","All races/ethnicities","Female","0",0,"326,938"
"Primary and Secondary Syphilis","2002","Alaska","02","All age groups","All races/ethnicities","Female","Data not available","Data not available","NA"
"Primary and Secondary Syphilis","2009","Alaska","02","All age groups","All races/ethnicities","Male","Data not available","Data not available","NA"
"Primary and Secondary Syphilis","2003","Alaska","02","All age groups","All races/ethnicities","Male","1",0.3,"334,786"
"Primary and Secondary Syphilis","2003","Alaska","02","All age groups","All races/ethnicities","Female","0",0,"312,885"
"Primary and Secondary Syphilis","2016","Alaska","02","All age groups","All races/ethnicities","Male","8",2.1,"389,025"
"Primary and Secondary Syphilis","2000","Alaska","02","All age groups","All races/ethnicities","Female","Data not available","Data not available","NA"
"Primary and Secondary Syphilis","2006","Alaska","02","All age groups","All races/ethnicities","Female","2",0.6,"324,166"
"Primary and Secondary Syphilis","2014","Alaska","02","All age groups","All races/ethnicities","Female","1",0.3,"349,377"
"Primary and Secondary Syphilis","2001","Alaska","02","All age groups","All races/ethnicities","Male","Data not available","Data not available","NA"
"Primary and Secondary Syphilis","2007","Alaska","02","All age groups","All races/ethnicities","Male","6",1.7,"354,279"
"Primary and Secondary Syphilis","2009","Alaska","02","All age groups","All races/ethnicities","Female","Data not available","Data not available","NA"
"Primary and Secondary Syphilis","2012","Alaska","02","All age groups","All races/ethnicities","Male","10",2.6,"381,304"
"Primary and Secondary Syphilis","2012","Alaska","02","All age groups","All races/ethnicities","Female","1",0.3,"349,924"
"Primary and Secondary Syphilis","2005","Alaska","02","All age groups","All races/ethnicities","Female","1",0.3,"320,271"
"Primary and Secondary Syphilis","2015","Alaska","02","All age groups","All races/ethnicities","Female","1",0.3,"349,407"
"Primary and Secondary Syphilis","2016","Alaska","02","All age groups","All races/ethnicities","Female","0",0,"349,407"
"Primary and Secondary Syphilis","2010","Alaska","02","All age groups","All races/ethnicities","Female","0",0,"342,246"
"Primary and Secondary Syphilis","2010","Alaska","02","All age groups","All races/ethnicities","Male","3",0.8,"371,775"
"Primary and Secondary Syphilis","2002","Alaska","02","All age groups","All races/ethnicities","Male","Data not available","Data not available","NA"
"Primary and Secondary Syphilis","2005","Alaska","02","All age groups","All races/ethnicities","Male","8",2.3,"346,843"
"Primary and Secondary Syphilis","2011","Alaska","02","All age groups","All races/ethnicities","Male","4",1.1,"375,558"
"Primary and Secondary Syphilis","2011","Alaska","02","All age groups","All races/ethnicities","Female","1",0.3,"347,162"
"Primary and Secondary Syphilis","2000","Alaska","02","All age groups","All races/ethnicities","Male","Data not available","Data not available","NA"
"Primary and Secondary Syphilis","2001","Arizona","04","All age groups","All races/ethnicities","Male","130",4.9,"2,650,226"
"Primary and Secondary Syphilis","2002","Arizona","04","All age groups","All races/ethnicities","Male","126",4.6,"2,725,956"
"Primary and Secondary Syphilis","2012","Arizona","04","All age groups","All races/ethnicities","Male","186",5.7,"3,256,857"
"Primary and Secondary Syphilis","2005","Arizona","04","All age groups","All races/ethnicities","Male","125",4.2,"2,992,350"
"Primary and Secondary Syphilis","2016","Arizona","04","All age groups","All races/ethnicities","Male","641",18.9,"3,391,490"
"Primary and Secondary Syphilis","2003","Arizona","04","All age groups","All races/ethnicities","Male","120",4.3,"2,795,953"
"Primary and Secondary Syphilis","2004","Arizona","04","All age groups","All races/ethnicities","Male","115",4,"2,882,501"
"Primary and Secondary Syphilis","2004","Arizona","04","All age groups","All races/ethnicities","Female","42",1.5,"2,876,191"
"Primary and Secondary Syphilis","2006","Alaska","02","All age groups","All races/ethnicities","Male","9",2.6,"351,156"
"Primary and Secondary Syphilis","2013","Alaska","02","All age groups","All races/ethnicities","Male","21",5.4,"387,322"
"Primary and Secondary Syphilis","2013","Alaska","02","All age groups","All races/ethnicities","Female","2",0.6,"350,120"
"Primary and Secondary Syphilis","2009","Arizona","04","All age groups","All races/ethnicities","Male","208",6.3,"3,309,806"
"Primary and Secondary Syphilis","2012","Arizona","04","All age groups","All races/ethnicities","Female","16",0.5,"3,296,405"
"Primary and Secondary Syphilis","2013","Arizona","04","All age groups","All races/ethnicities","Male","260",7.9,"3,294,598"
"Primary and Secondary Syphilis","2005","Arizona","04","All age groups","All races/ethnicities","Female","49",1.6,"2,981,620"
"Primary and Secondary Syphilis","2006","Arizona","04","All age groups","All races/ethnicities","Female","33",1.1,"3,085,978"
"Primary and Secondary Syphilis","2003","Arizona","04","All age groups","All races/ethnicities","Female","66",2.4,"2,794,867"
"Primary and Secondary Syphilis","2009","Arizona","04","All age groups","All races/ethnicities","Female","22",0.7,"3,277,847"
"Primary and Secondary Syphilis","2013","Arizona","04","All age groups","All races/ethnicities","Female","27",0.8,"3,336,201"
"Primary and Secondary Syphilis","2014","Arizona","04","All age groups","All races/ethnicities","Male","527",15.8,"3,343,545"
"Primary and Secondary Syphilis","2000","Arizona","04","All age groups","All races/ethnicities","Female","80",3.1,"2,586,780"
"Primary and Secondary Syphilis","2008","Arizona","04","All age groups","All races/ethnicities","Male","261",8,"3,264,555"
"Primary and Secondary Syphilis","2008","Arizona","04","All age groups","All races/ethnicities","Female","56",1.7,"3,234,652"
"Primary and Secondary Syphilis","2010","Arizona","04","All age groups","All races/ethnicities","Female","20",0.6,"3,223,874"
"Primary and Secondary Syphilis","2000","Arizona","04","All age groups","All races/ethnicities","Male","109",4.2,"2,579,524"
"Primary and Secondary Syphilis","2011","Arizona","04","All age groups","All races/ethnicities","Male","257",8,"3,215,376"
"Primary and Secondary Syphilis","2001","Arizona","04","All age groups","All races/ethnicities","Female","50",1.9,"2,653,643"
"Primary and Secondary Syphilis","2014","Arizona","04","All age groups","All races/ethnicities","Female","50",1.5,"3,385,238"
"Primary and Secondary Syphilis","2015","Arizona","04","All age groups","All races/ethnicities","Male","542",16,"3,391,490"
"Primary and Secondary Syphilis","2006","Arizona","04","All age groups","All races/ethnicities","Male","166",5.3,"3,105,009"
"Primary and Secondary Syphilis","2002","Arizona","04","All age groups","All races/ethnicities","Female","74",2.7,"2,725,516"
"Primary and Secondary Syphilis","2015","Arizona","04","All age groups","All races/ethnicities","Female","47",1.4,"3,436,575"
"Primary and Secondary Syphilis","2016","Arizona","04","All age groups","All races/ethnicities","Female","80",2.3,"3,436,575"
"Primary and Secondary Syphilis","2007","Arizona","04","All age groups","All races/ethnicities","Male","230",7.2,"3,192,749"
"Primary and Secondary Syphilis","2007","Arizona","04","All age groups","All races/ethnicities","Female","64",2,"3,167,489"
"Primary and Secondary Syphilis","2011","Arizona","04","All age groups","All races/ethnicities","Female","15",0.5,"3,253,356"
"Primary and Secondary Syphilis","2007","Alaska","02","All age groups","All races/ethnicities","Female","1",0.3,"325,614"
"Primary and Secondary Syphilis","2010","Arizona","04","All age groups","All races/ethnicities","Male","210",6.6,"3,184,334"
"Primary and Secondary Syphilis","2006","Arkansas","05","All age groups","All races/ethnicities","Female","35",2.4,"1,435,390"
"Primary and Secondary Syphilis","2013","Arkansas","05","All age groups","All races/ethnicities","Male","133",9.2,"1,452,504"
"Primary and Secondary Syphilis","2001","Arkansas","05","All age groups","All races/ethnicities","Male","22",1.7,"1,314,120"
"Primary and Secondary Syphilis","2002","Arkansas","05","All age groups","All races/ethnicities","Male","16",1.2,"1,321,711"
"Primary and Secondary Syphilis","2003","Arkansas","05","All age groups","All races/ethnicities","Male","35",2.6,"1,332,007"
"Primary and Secondary Syphilis","2009","Arkansas","05","All age groups","All races/ethnicities","Male","171",12.1,"1,416,431"
"Primary and Secondary Syphilis","2009","Arkansas","05","All age groups","All races/ethnicities","Female","104",7.1,"1,470,900"
"Primary and Secondary Syphilis","2004","Arkansas","05","All age groups","All races/ethnicities","Female","18",1.3,"1,401,540"
"Primary and Secondary Syphilis","2006","Arkansas","05","All age groups","All races/ethnicities","Male","42",3,"1,379,520"
"Primary and Secondary Syphilis","2005","Arkansas","05","All age groups","All races/ethnicities","Male","31",2.3,"1,360,184"
"Primary and Secondary Syphilis","2000","Arkansas","05","All age groups","All races/ethnicities","Female","58",4.2,"1,370,830"
"Primary and Secondary Syphilis","2012","Arkansas","05","All age groups","All races/ethnicities","Male","124",8.6,"1,448,481"
"Primary and Secondary Syphilis","2012","Arkansas","05","All age groups","All races/ethnicities","Female","49",3.3,"1,501,018"
"Primary and Secondary Syphilis","2003","Arkansas","05","All age groups","All races/ethnicities","Female","16",1.2,"1,390,797"
"Primary and Secondary Syphilis","2014","Arkansas","05","All age groups","All races/ethnicities","Female","23",1.5,"1,509,687"
"Primary and Secondary Syphilis","2014","Arkansas","05","All age groups","All races/ethnicities","Male","98",6.7,"1,457,148"
"Primary and Secondary Syphilis","2002","Arkansas","05","All age groups","All races/ethnicities","Female","18",1.3,"1,382,760"
"Primary and Secondary Syphilis","2004","Arkansas","05","All age groups","All races/ethnicities","Male","29",2.2,"1,344,675"
"Primary and Secondary Syphilis","2008","Arkansas","05","All age groups","All races/ethnicities","Male","125",8.9,"1,405,855"
"Primary and Secondary Syphilis","2008","Arkansas","05","All age groups","All races/ethnicities","Female","81",5.5,"1,461,244"
"Primary and Secondary Syphilis","2010","Arkansas","05","All age groups","All races/ethnicities","Male","123",8.6,"1,434,869"
"Primary and Secondary Syphilis","2000","Arkansas","05","All age groups","All races/ethnicities","Male","46",3.5,"1,307,285"
"Primary and Secondary Syphilis","2011","Arkansas","05","All age groups","All races/ethnicities","Male","106",7.3,"1,443,073"
"Primary and Secondary Syphilis","2015","Arkansas","05","All age groups","All races/ethnicities","Male","108",7.4,"1,462,856"
"Primary and Secondary Syphilis","2007","Arkansas","05","All age groups","All races/ethnicities","Male","72",5.2,"1,393,132"
"Primary and Secondary Syphilis","2007","Arkansas","05","All age groups","All races/ethnicities","Female","50",3.5,"1,448,463"
"Primary and Secondary Syphilis","2010","Arkansas","05","All age groups","All races/ethnicities","Female","82",5.5,"1,487,525"
"Primary and Secondary Syphilis","2011","Arkansas","05","All age groups","All races/ethnicities","Female","76",5.1,"1,495,465"
"Primary and Secondary Syphilis","2005","Arkansas","05","All age groups","All races/ethnicities","Female","21",1.5,"1,416,073"
"Primary and Secondary Syphilis","2015","Arkansas","05","All age groups","All races/ethnicities","Female","26",1.7,"1,515,348"
"Primary and Secondary Syphilis","2016","Arkansas","05","All age groups","All races/ethnicities","Female","37",2.4,"1,515,348"
"Primary and Secondary Syphilis","2016","Arkansas","05","All age groups","All races/ethnicities","Male","113",7.7,"1,462,856"
"Primary and Secondary Syphilis","2001","California","06","All age groups","All races/ethnicities","Male","501",2.9,"17,201,605"
"Primary and Secondary Syphilis","2013","Arkansas","05","All age groups","All races/ethnicities","Female","44",2.9,"1,505,453"
"Primary and Secondary Syphilis","2016","California","06","All age groups","All races/ethnicities","Female","744",3.8,"19,701,750"
"Primary and Secondary Syphilis","2006","California","06","All age groups","All races/ethnicities","Female","128",0.7,"17,973,162"
"Primary and Secondary Syphilis","2001","Arkansas","05","All age groups","All races/ethnicities","Female","27",2,"1,376,623"
"Primary and Secondary Syphilis","2005","California","06","All age groups","All races/ethnicities","Male","1,463",8.2,"17,876,056"
"Primary and Secondary Syphilis","2003","California","06","All age groups","All races/ethnicities","Female","52",0.3,"17,658,416"
"Primary and Secondary Syphilis","2013","California","06","All age groups","All races/ethnicities","Male","3,319",17.4,"19,080,514"
"Primary and Secondary Syphilis","2013","California","06","All age groups","All races/ethnicities","Female","210",1.1,"19,333,614"
"Primary and Secondary Syphilis","2004","California","06","All age groups","All races/ethnicities","Male","1,291",7.3,"17,740,681"
"Primary and Secondary Syphilis","2000","California","06","All age groups","All races/ethnicities","Male","272",1.6,"16,944,224"
"Primary and Secondary Syphilis","2004","California","06","All age groups","All races/ethnicities","Female","63",0.4,"17,797,575"
"Primary and Secondary Syphilis","2002","California","06","All age groups","All races/ethnicities","Male","994",5.7,"17,398,474"
"Primary and Secondary Syphilis","2012","California","06","All age groups","All races/ethnicities","Female","116",0.6,"19,149,839"
"Primary and Secondary Syphilis","2012","California","06","All age groups","All races/ethnicities","Male","2,823",14.9,"18,906,216"
"Primary and Secondary Syphilis","2014","California","06","All age groups","All races/ethnicities","Female","318",1.6,"19,526,301"
"Primary and Secondary Syphilis","2014","California","06","All age groups","All races/ethnicities","Male","3,515",18.2,"19,265,990"
"Primary and Secondary Syphilis","2009","California","06","All age groups","All races/ethnicities","Female","79",0.4,"18,412,049"
"Primary and Secondary Syphilis","2011","California","06","All age groups","All races/ethnicities","Female","103",0.5,"18,968,958"
"Primary and Secondary Syphilis","2008","California","06","All age groups","All races/ethnicities","Female","110",0.6,"18,246,086"
"Primary and Secondary Syphilis","2010","California","06","All age groups","All races/ethnicities","Female","74",0.4,"18,780,517"
"Primary and Secondary Syphilis","2010","California","06","All age groups","All races/ethnicities","Male","1,990",10.7,"18,553,562"
"Primary and Secondary Syphilis","2001","California","06","All age groups","All races/ethnicities","Female","42",0.2,"17,280,148"
"Primary and Secondary Syphilis","2000","California","06","All age groups","All races/ethnicities","Female","51",0.3,"17,050,159"
"Primary and Secondary Syphilis","2006","California","06","All age groups","All races/ethnicities","Male","1,706",9.5,"17,974,299"
"Primary and Secondary Syphilis","2003","California","06","All age groups","All races/ethnicities","Male","1,245",7.1,"17,578,173"
"Primary and Secondary Syphilis","2007","California","06","All age groups","All races/ethnicities","Male","1,921",10.6,"18,105,979"
"Primary and Secondary Syphilis","2007","California","06","All age groups","All races/ethnicities","Female","115",0.6,"18,079,929"
"Primary and Secondary Syphilis","2008","California","06","All age groups","All races/ethnicities","Male","2,092",11.4,"18,291,922"
"Primary and Secondary Syphilis","2009","California","06","All age groups","All races/ethnicities","Male","1,821",9.9,"18,475,566"
"Primary and Secondary Syphilis","2005","California","06","All age groups","All races/ethnicities","Female","121",0.7,"17,894,632"
"Primary and Secondary Syphilis","2002","California","06","All age groups","All races/ethnicities","Female","39",0.2,"17,469,299"
"Primary and Secondary Syphilis","2006","Colorado","08","All age groups","All races/ethnicities","Male","64",2.7,"2,390,682"
"Primary and Secondary Syphilis","2015","California","06","All age groups","All races/ethnicities","Female","476",2.4,"19,701,750"
"Primary and Secondary Syphilis","2015","California","06","All age groups","All races/ethnicities","Male","4,430",22.8,"19,443,068"
"Primary and Secondary Syphilis","2016","California","06","All age groups","All races/ethnicities","Male","5,143",26.5,"19,443,068"
"Primary and Secondary Syphilis","2011","California","06","All age groups","All races/ethnicities","Male","2,327",12.4,"18,731,076"
"Primary and Secondary Syphilis","2001","Colorado","08","All age groups","All races/ethnicities","Female","5",0.2,"2,197,544"
"Primary and Secondary Syphilis","2006","Colorado","08","All age groups","All races/ethnicities","Female","5",0.2,"2,357,190"
"Primary and Secondary Syphilis","2003","Colorado","08","All age groups","All races/ethnicities","Male","34",1.5,"2,288,948"
"Primary and Secondary Syphilis","2015","Colorado","08","All age groups","All races/ethnicities","Male","239",8.7,"2,743,763"
"Primary and Secondary Syphilis","2015","Colorado","08","All age groups","All races/ethnicities","Female","6",0.2,"2,712,811"
"Primary and Secondary Syphilis","2005","Colorado","08","All age groups","All races/ethnicities","Female","2",0.1,"2,312,040"
"Primary and Secondary Syphilis","2000","Colorado","08","All age groups","All races/ethnicities","Female","1",0,"2,148,192"
"Primary and Secondary Syphilis","2002","Colorado","08","All age groups","All races/ethnicities","Female","2",0.1,"2,231,676"
"Primary and Secondary Syphilis","2009","Colorado","08","All age groups","All races/ethnicities","Male","99",3.9,"2,527,851"
"Primary and Secondary Syphilis","2003","Colorado","08","All age groups","All races/ethnicities","Female","5",0.2,"2,256,818"
"Primary and Secondary Syphilis","2013","Colorado","08","All age groups","All races/ethnicities","Male","159",6,"2,646,113"
"Primary and Secondary Syphilis","2016","Colorado","08","All age groups","All races/ethnicities","Male","234",8.5,"2,743,763"
"Primary and Secondary Syphilis","2016","Colorado","08","All age groups","All races/ethnicities","Female","16",0.6,"2,712,811"
"Primary and Secondary Syphilis","2005","Colorado","08","All age groups","All races/ethnicities","Male","44",1.9,"2,343,691"
"Primary and Secondary Syphilis","2011","Colorado","08","All age groups","All races/ethnicities","Male","129",5,"2,567,255"
"Primary and Secondary Syphilis","2004","Colorado","08","All age groups","All races/ethnicities","Female","7",0.3,"2,278,257"
"Primary and Secondary Syphilis","2013","Colorado","08","All age groups","All races/ethnicities","Female","4",0.2,"2,625,019"
"Primary and Secondary Syphilis","2001","Colorado","08","All age groups","All races/ethnicities","Male","18",0.8,"2,235,235"
"Primary and Secondary Syphilis","2011","Colorado","08","All age groups","All races/ethnicities","Female","4",0.2,"2,552,225"
"Primary and Secondary Syphilis","2002","Colorado","08","All age groups","All races/ethnicities","Male","62",2.7,"2,271,207"
"Primary and Secondary Syphilis","2014","Colorado","08","All age groups","All races/ethnicities","Male","180",6.7,"2,690,349"
"Primary and Secondary Syphilis","2014","Colorado","08","All age groups","All races/ethnicities","Female","6",0.2,"2,665,239"
"Primary and Secondary Syphilis","2007","Colorado","08","All age groups","All races/ethnicities","Female","2",0.1,"2,401,625"
"Primary and Secondary Syphilis","2007","Colorado","08","All age groups","All races/ethnicities","Male","55",2.3,"2,435,604"
"Primary and Secondary Syphilis","2009","Colorado","08","All age groups","All races/ethnicities","Female","6",0.2,"2,487,304"
"Primary and Secondary Syphilis","2010","Colorado","08","All age groups","All races/ethnicities","Male","136",5.4,"2,531,331"
"Primary and Secondary Syphilis","2010","Colorado","08","All age groups","All races/ethnicities","Female","2",0.1,"2,516,923"
"Primary and Secondary Syphilis","2012","Colorado","08","All age groups","All races/ethnicities","Male","205",7.9,"2,604,786"
"Primary and Secondary Syphilis","2012","Colorado","08","All age groups","All races/ethnicities","Female","3",0.1,"2,586,945"
"Primary and Secondary Syphilis","2004","Colorado","08","All age groups","All races/ethnicities","Male","56",2.4,"2,317,417"
"Primary and Secondary Syphilis","2008","Colorado","08","All age groups","All races/ethnicities","Male","125",5,"2,483,518"
"Primary and Secondary Syphilis","2000","Colorado","08","All age groups","All races/ethnicities","Male","10",0.5,"2,180,085"
"Primary and Secondary Syphilis","2008","Colorado","08","All age groups","All races/ethnicities","Female","3",0.1,"2,445,158"
"Primary and Secondary Syphilis","2011","Connecticut","09","All age groups","All races/ethnicities","Male","60",3.4,"1,748,474"
"Primary and Secondary Syphilis","2012","Connecticut","09","All age groups","All races/ethnicities","Male","46",2.6,"1,750,852"
"Primary and Secondary Syphilis","2006","Connecticut","09","All age groups","All races/ethnicities","Female","2",0.1,"1,783,797"
"Primary and Secondary Syphilis","2006","Connecticut","09","All age groups","All races/ethnicities","Male","62",3.6,"1,700,734"
"Primary and Secondary Syphilis","2003","Connecticut","09","All age groups","All races/ethnicities","Female","3",0.2,"1,781,749"
"Primary and Secondary Syphilis","2003","Connecticut","09","All age groups","All races/ethnicities","Male","27",1.6,"1,686,570"
"Primary and Secondary Syphilis","2004","Connecticut","09","All age groups","All races/ethnicities","Male","42",2.5,"1,691,829"
"Primary and Secondary Syphilis","2014","Connecticut","09","All age groups","All races/ethnicities","Male","79",4.5,"1,752,990"
"Primary and Secondary Syphilis","2015","Connecticut","09","All age groups","All races/ethnicities","Female","15",0.8,"1,839,139"
"Primary and Secondary Syphilis","2005","Connecticut","09","All age groups","All races/ethnicities","Male","56",3.3,"1,695,312"
"Primary and Secondary Syphilis","2004","Connecticut","09","All age groups","All races/ethnicities","Female","3",0.2,"1,782,550"
"Primary and Secondary Syphilis","2005","Connecticut","09","All age groups","All races/ethnicities","Female","2",0.1,"1,781,873"
"Primary and Secondary Syphilis","2014","Connecticut","09","All age groups","All races/ethnicities","Female","7",0.4,"1,841,772"
"Primary and Secondary Syphilis","2008","Connecticut","09","All age groups","All races/ethnicities","Male","34",2,"1,712,159"
"Primary and Secondary Syphilis","2008","Connecticut","09","All age groups","All races/ethnicities","Female","0",0,"1,790,505"
"Primary and Secondary Syphilis","2001","Connecticut","09","All age groups","All races/ethnicities","Male","10",0.6,"1,663,088"
"Primary and Secondary Syphilis","2015","Connecticut","09","All age groups","All races/ethnicities","Male","77",4.4,"1,751,747"
"Primary and Secondary Syphilis","2016","Connecticut","09","All age groups","All races/ethnicities","Male","98",5.6,"1,751,747"
"Primary and Secondary Syphilis","2016","Connecticut","09","All age groups","All races/ethnicities","Female","12",0.7,"1,839,139"
"Primary and Secondary Syphilis","2013","Connecticut","09","All age groups","All races/ethnicities","Male","48",2.7,"1,753,570"
"Primary and Secondary Syphilis","2011","Connecticut","09","All age groups","All races/ethnicities","Female","5",0.3,"1,841,285"
"Primary and Secondary Syphilis","2000","Connecticut","09","All age groups","All races/ethnicities","Male","9",0.5,"1,652,544"
"Primary and Secondary Syphilis","2000","Connecticut","09","All age groups","All races/ethnicities","Female","7",0.4,"1,758,962"
"Primary and Secondary Syphilis","2009","Connecticut","09","All age groups","All races/ethnicities","Male","64",3.7,"1,719,322"
"Primary and Secondary Syphilis","2009","Connecticut","09","All age groups","All races/ethnicities","Female","1",0.1,"1,795,504"
"Primary and Secondary Syphilis","2010","Connecticut","09","All age groups","All races/ethnicities","Female","5",0.3,"1,836,924"
"Primary and Secondary Syphilis","2010","Connecticut","09","All age groups","All races/ethnicities","Male","93",5.3,"1,742,793"
"Primary and Secondary Syphilis","2002","Connecticut","09","All age groups","All races/ethnicities","Male","25",1.5,"1,675,327"
"Primary and Secondary Syphilis","2002","Connecticut","09","All age groups","All races/ethnicities","Female","3",0.2,"1,772,818"
