"Date Printed: Wednesday, August 29, 2018 9:07:49 AM"
Title: Primary and Secondary Syphilis | Early Latent Syphilis | Congenital Syphilis | Chlamydia | Gonorrhea | 2016 | 2015 | 2014 | 2013 | 2012 | 2011 | 2010 | 2009 | 2008 | 2007 | 2006 | 2005 | 2004 | 2003 | 2002 | 2001 | 2000 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | All age groups

NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
"Primary and Secondary Syphilis","2013","Hawaii","15","All age groups","All races/ethnicities","Both sexes","46",3.3,"1,408,765"
"Primary and Secondary Syphilis","2010","Hawaii","15","All age groups","All races/ethnicities","Both sexes","35",2.6,"1,363,980"
"Primary and Secondary Syphilis","2010","Idaho","16","All age groups","All races/ethnicities","Both sexes","6",0.4,"1,570,986"
"Primary and Secondary Syphilis","2011","Idaho","16","All age groups","All races/ethnicities","Both sexes","13",0.8,"1,584,134"
"Primary and Secondary Syphilis","2005","Idaho","16","All age groups","All races/ethnicities","Both sexes","20",1.4,"1,425,226"
"Primary and Secondary Syphilis","2016","Idaho","16","All age groups","All races/ethnicities","Both sexes","50",3,"1,654,930"
"Primary and Secondary Syphilis","2001","Idaho","16","All age groups","All races/ethnicities","Both sexes","1",0.1,"1,320,791"
"Primary and Secondary Syphilis","2003","Idaho","16","All age groups","All races/ethnicities","Both sexes","15",1.1,"1,363,672"
"Primary and Secondary Syphilis","2015","Idaho","16","All age groups","All races/ethnicities","Both sexes","57",3.4,"1,654,930"
"Primary and Secondary Syphilis","2004","Idaho","16","All age groups","All races/ethnicities","Both sexes","24",1.7,"1,391,127"
"Primary and Secondary Syphilis","2007","Idaho","16","All age groups","All races/ethnicities","Both sexes","1",0.1,"1,498,390"
"Primary and Secondary Syphilis","2006","Idaho","16","All age groups","All races/ethnicities","Both sexes","3",0.2,"1,463,631"
"Primary and Secondary Syphilis","2002","Idaho","16","All age groups","All races/ethnicities","Both sexes","8",0.6,"1,341,704"
"Primary and Secondary Syphilis","2000","Idaho","16","All age groups","All races/ethnicities","Both sexes","1",0.1,"1,299,555"
"Primary and Secondary Syphilis","2008","Idaho","16","All age groups","All races/ethnicities","Both sexes","7",0.5,"1,526,295"
"Primary and Secondary Syphilis","2009","Idaho","16","All age groups","All races/ethnicities","Both sexes","3",0.2,"1,544,465"
"Primary and Secondary Syphilis","2012","Idaho","16","All age groups","All races/ethnicities","Both sexes","26",1.6,"1,596,097"
"Primary and Secondary Syphilis","2013","Idaho","16","All age groups","All races/ethnicities","Both sexes","15",0.9,"1,612,785"
